iter	Passed	Remaining
0	1	174
1	3	168
2	4	157
3	6	144
4	7	138
5	8	135
6	9	130
7	11	128
8	12	125
9	13	122
10	14	120
11	16	119
12	17	116
13	18	114
14	19	111
15	20	109
16	21	107
17	23	105
18	24	103
19	25	101
20	26	99
21	27	97
22	28	94
23	29	92
24	30	90
25	31	89
26	32	87
27	33	85
28	34	83
29	35	82
30	36	80
31	37	79
32	38	77
33	39	75
34	39	73
35	40	72
36	41	70
37	42	68
38	43	67
39	44	66
40	44	64
41	45	62
42	46	61
43	46	59
44	47	58
45	48	57
46	49	55
47	50	54
48	51	53
49	52	52
50	53	51
51	53	49
52	54	48
53	55	47
54	56	45
55	57	45
56	58	43
57	59	42
58	59	41
59	60	40
60	61	39
61	62	38
62	63	37
63	64	36
64	65	35
65	65	33
66	66	32
67	67	31
68	68	30
69	69	29
70	70	28
71	71	27
72	72	26
73	73	25
74	73	24
75	74	23
76	75	22
77	76	21
78	76	20
79	77	19
80	78	18
81	79	17
82	80	16
83	80	15
84	81	14
85	82	13
86	83	12
87	83	11
88	84	10
89	85	9
90	86	8
91	87	7
92	87	6
93	88	5
94	89	4
95	90	3
96	91	2
97	91	1
98	92	0
99	93	0
