iter	Passed	Remaining
0	121	121016
1	122	61257
2	125	41602
3	126	31507
4	128	25495
5	129	21525
6	131	18603
7	132	16415
8	133	14723
9	135	13392
10	136	12269
11	137	11333
12	138	10533
13	143	10086
14	145	9545
15	147	9069
16	149	8616
17	150	8213
18	151	7829
19	152	7482
20	154	7180
21	155	6912
22	159	6774
23	160	6534
24	162	6318
25	163	6111
26	164	5918
27	165	5735
28	166	5567
29	167	5409
30	168	5263
31	169	5132
32	171	5035
33	173	4921
34	174	4809
35	175	4706
36	176	4605
37	178	4506
38	179	4413
39	180	4327
40	181	4244
41	182	4171
42	184	4095
43	185	4026
44	186	3963
45	188	3906
46	189	3842
47	190	3785
48	192	3734
49	193	3677
50	194	3626
51	196	3574
52	197	3522
53	198	3473
54	199	3433
55	201	3398
56	203	3360
57	204	3325
58	206	3287
59	207	3248
60	208	3209
61	209	3172
62	210	3137
63	212	3101
64	213	3068
65	214	3033
66	215	3006
67	217	2978
68	218	2947
69	219	2916
70	220	2885
71	221	2854
72	222	2826
73	223	2799
74	224	2770
75	225	2744
76	227	2723
77	229	2708
78	230	2692
79	232	2670
80	233	2649
81	234	2626
82	235	2599
83	236	2576
84	237	2554
85	238	2533
86	239	2512
87	240	2490
88	241	2470
89	242	2451
90	243	2435
91	245	2419
92	246	2401
93	247	2387
94	249	2373
95	250	2358
96	251	2342
97	252	2326
98	253	2309
99	255	2295
100	256	2281
101	257	2265
102	258	2253
103	259	2239
104	261	2226
105	262	2213
106	263	2201
107	264	2188
108	265	2173
109	267	2160
110	268	2147
111	269	2135
112	270	2122
113	271	2108
114	272	2097
115	273	2087
116	275	2076
117	276	2065
118	277	2054
119	278	2041
120	279	2030
121	280	2017
122	281	2007
123	282	1995
124	283	1984
125	284	1973
126	285	1962
127	286	1951
128	288	1944
129	290	1941
130	291	1932
131	292	1923
132	293	1912
133	294	1903
134	295	1895
135	296	1885
136	298	1877
137	299	1868
138	300	1859
139	301	1850
140	302	1841
141	303	1831
142	304	1825
143	305	1817
144	307	1811
145	308	1804
146	309	1797
147	310	1788
148	311	1780
149	312	1772
150	313	1763
151	314	1757
152	316	1750
153	317	1745
154	318	1738
155	320	1731
156	321	1724
157	322	1716
158	323	1709
159	324	1703
160	325	1694
161	326	1689
162	327	1683
163	329	1677
164	330	1671
165	331	1665
166	332	1659
167	334	1655
168	335	1650
169	336	1643
170	337	1637
171	338	1631
172	340	1626
173	341	1620
174	342	1614
175	343	1609
176	344	1603
177	345	1597
178	347	1591
179	348	1587
180	349	1583
181	350	1577
182	352	1571
183	353	1565
184	354	1559
185	354	1553
186	356	1547
187	357	1542
188	358	1537
189	359	1532
190	360	1527
191	361	1522
192	362	1517
193	364	1513
194	365	1508
195	366	1504
196	367	1498
197	368	1493
198	369	1488
199	370	1483
200	371	1477
201	372	1472
202	373	1467
203	374	1462
204	375	1457
205	377	1454
206	378	1451
207	380	1449
208	382	1445
209	383	1441
210	384	1437
211	385	1432
212	386	1428
213	387	1424
214	388	1420
215	389	1415
216	391	1411
217	392	1407
218	393	1404
219	395	1400
220	396	1396
221	398	1395
222	399	1392
223	400	1388
224	401	1384
225	402	1379
226	404	1375
227	405	1371
228	406	1367
229	407	1363
230	408	1360
231	409	1356
232	410	1352
233	412	1349
234	413	1345
235	414	1340
236	415	1336
237	416	1332
238	417	1327
239	418	1323
240	419	1320
241	420	1316
242	421	1313
243	423	1310
244	424	1307
245	425	1304
246	426	1300
247	427	1296
248	428	1293
249	429	1289
250	430	1286
251	432	1282
252	433	1279
253	434	1275
254	435	1272
255	436	1269
256	438	1267
257	439	1265
258	441	1261
259	442	1258
260	443	1254
261	444	1251
262	445	1248
263	446	1245
264	448	1243
265	449	1239
266	450	1236
267	451	1233
268	453	1231
269	454	1228
270	455	1225
271	456	1222
272	457	1219
273	458	1215
274	460	1212
275	461	1210
276	462	1207
277	463	1203
278	464	1200
279	465	1197
280	467	1195
281	468	1192
282	469	1190
283	471	1187
284	472	1185
285	473	1182
286	474	1179
287	475	1176
288	477	1173
289	478	1170
290	479	1167
291	480	1165
292	481	1162
293	483	1160
294	484	1158
295	486	1156
296	487	1154
297	489	1152
298	490	1150
299	492	1148
300	493	1145
301	494	1142
302	496	1140
303	497	1139
304	498	1136
305	500	1134
306	501	1131
307	502	1128
308	503	1126
309	504	1123
310	505	1120
311	506	1117
312	508	1115
313	509	1113
314	512	1114
315	514	1113
316	515	1111
317	518	1111
318	520	1110
319	521	1108
320	522	1105
321	524	1103
322	526	1102
323	528	1101
324	529	1099
325	530	1096
326	531	1093
327	532	1091
328	533	1088
329	534	1085
330	535	1083
331	537	1080
332	538	1077
333	539	1075
334	540	1073
335	541	1070
336	542	1068
337	544	1065
338	545	1062
339	546	1060
340	547	1059
341	549	1058
342	551	1056
343	552	1053
344	553	1050
345	555	1049
346	556	1047
347	557	1045
348	559	1043
349	560	1040
350	561	1038
351	562	1035
352	563	1033
353	564	1030
354	565	1027
355	566	1025
356	567	1022
357	568	1020
358	570	1018
359	571	1016
360	573	1014
361	574	1012
362	575	1009
363	576	1007
364	577	1005
365	578	1002
366	579	1000
367	580	997
368	582	995
369	583	993
370	584	991
371	586	990
372	587	988
373	588	985
374	590	983
375	591	980
376	591	978
377	593	975
378	593	973
379	595	970
380	596	968
381	598	967
382	599	966
383	601	965
384	602	963
385	604	960
386	605	958
387	606	956
388	607	953
389	608	951
390	609	948
391	610	946
392	611	943
393	612	941
394	613	939
395	614	936
396	615	934
397	616	932
398	618	930
399	619	928
400	620	926
401	621	924
402	622	921
403	623	919
404	624	917
405	625	914
406	626	912
407	627	910
408	628	908
409	629	906
410	631	904
411	632	902
412	633	900
413	634	897
414	635	895
415	636	893
416	637	890
417	638	888
418	639	886
419	640	884
420	641	882
421	642	880
422	643	877
423	644	875
424	646	874
425	647	872
426	648	869
427	649	867
428	650	865
429	651	863
430	652	861
431	653	858
432	654	856
433	655	854
434	656	852
435	657	850
436	658	848
437	659	846
438	660	844
439	661	842
440	662	840
441	664	838
442	665	836
443	666	834
444	667	832
445	668	829
446	669	828
447	670	826
448	671	824
449	672	822
450	673	820
451	674	818
452	676	816
453	677	815
454	679	813
455	681	812
456	682	810
457	683	809
458	684	807
459	686	805
460	687	803
461	687	801
462	689	799
463	690	797
464	691	795
465	693	794
466	694	792
467	695	790
468	696	788
469	697	786
470	698	785
471	700	783
472	701	781
473	702	779
474	703	777
475	704	775
476	705	773
477	706	771
478	708	770
479	709	768
480	710	766
481	711	764
482	712	762
483	713	760
484	714	758
485	715	757
486	716	755
487	718	753
488	719	751
489	720	750
490	722	748
491	723	746
492	724	744
493	725	742
494	726	741
495	727	739
496	728	737
497	729	735
498	730	733
499	731	731
500	732	729
501	734	728
502	735	726
503	737	725
504	738	723
505	739	721
506	740	719
507	741	717
508	742	715
509	743	713
510	744	712
511	745	710
512	746	708
513	748	707
514	749	706
515	751	705
516	752	703
517	753	701
518	755	699
519	756	698
520	757	696
521	758	694
522	759	692
523	760	691
524	761	689
525	762	687
526	764	686
527	765	684
528	767	682
529	768	681
530	769	679
531	771	678
532	772	676
533	773	675
534	774	673
535	775	671
536	776	669
537	777	667
538	778	666
539	779	664
540	781	662
541	782	661
542	783	659
543	784	657
544	785	655
545	786	654
546	787	652
547	788	650
548	789	648
549	790	647
550	792	645
551	793	643
552	794	642
553	796	640
554	797	639
555	798	638
556	800	636
557	801	634
558	802	632
559	803	631
560	804	629
561	805	627
562	806	625
563	807	624
564	808	622
565	809	620
566	811	619
567	812	617
568	813	616
569	814	614
570	815	612
571	817	611
572	818	609
573	819	607
574	820	606
575	821	604
576	822	602
577	823	601
578	824	599
579	825	598
580	827	596
581	828	594
582	829	593
583	830	591
584	831	589
585	832	588
586	834	586
587	835	585
588	837	584
589	838	582
590	839	581
591	840	579
592	842	577
593	843	576
594	845	575
595	846	573
596	847	572
597	848	570
598	849	568
599	850	567
600	851	565
601	852	563
602	853	562
603	855	560
604	856	559
605	857	557
606	858	555
607	859	554
608	860	552
609	861	550
610	863	549
611	864	547
612	865	546
613	866	544
614	867	542
615	868	541
616	870	540
617	871	538
618	872	537
619	873	535
620	874	533
621	875	532
622	877	530
623	878	529
624	878	527
625	879	525
626	881	524
627	882	523
628	884	521
629	886	520
630	888	519
631	889	518
632	891	516
633	892	515
634	893	513
635	894	512
636	896	510
637	897	509
638	898	507
639	899	505
640	900	504
641	901	502
642	902	501
643	904	499
644	905	498
645	906	496
646	907	495
647	908	493
648	909	492
649	911	490
650	912	489
651	913	487
652	915	486
653	916	484
654	918	483
655	919	482
656	920	480
657	921	478
658	922	477
659	923	475
660	924	474
661	925	472
662	926	471
663	927	469
664	929	468
665	930	466
666	931	465
667	932	463
668	933	462
669	934	460
670	936	458
671	937	457
672	937	455
673	939	454
674	940	452
675	941	451
676	942	449
677	943	448
678	945	446
679	946	445
680	947	443
681	949	442
682	950	441
683	951	439
684	952	437
685	953	436
686	954	434
687	955	433
688	956	431
689	957	430
690	958	428
691	960	427
692	961	426
693	963	424
694	964	423
695	965	421
696	966	420
697	967	418
698	968	417
699	970	415
700	971	414
701	972	412
702	973	411
703	974	409
704	975	408
705	977	406
706	978	405
707	979	403
708	980	402
709	981	400
710	982	399
711	983	397
712	984	396
713	985	394
714	986	393
715	987	391
716	989	390
717	990	388
718	991	387
719	993	386
720	995	385
721	996	383
722	997	382
723	998	380
724	999	379
725	1000	377
726	1001	376
727	1003	374
728	1004	373
729	1005	372
730	1007	370
731	1008	369
732	1009	367
733	1010	366
734	1012	364
735	1013	363
736	1014	361
737	1015	360
738	1016	359
739	1018	357
740	1019	356
741	1020	354
742	1021	353
743	1023	352
744	1024	350
745	1025	349
746	1026	347
747	1027	346
748	1028	344
749	1029	343
750	1030	341
751	1032	340
752	1033	339
753	1035	337
754	1036	336
755	1037	334
756	1039	333
757	1040	332
758	1041	330
759	1042	329
760	1043	327
761	1044	326
762	1045	324
763	1047	323
764	1048	322
765	1051	321
766	1052	319
767	1054	318
768	1056	317
769	1057	315
770	1058	314
771	1059	312
772	1060	311
773	1061	309
774	1063	308
775	1064	307
776	1066	306
777	1067	304
778	1068	303
779	1070	301
780	1071	300
781	1072	299
782	1073	297
783	1075	296
784	1076	294
785	1078	293
786	1079	292
787	1080	290
788	1082	289
789	1083	287
790	1084	286
791	1086	285
792	1087	283
793	1088	282
794	1091	281
795	1093	280
796	1095	278
797	1096	277
798	1097	276
799	1099	274
800	1100	273
801	1101	271
802	1102	270
803	1103	269
804	1105	267
805	1106	266
806	1108	265
807	1109	263
808	1110	262
809	1111	260
810	1113	259
811	1114	258
812	1115	256
813	1116	255
814	1117	253
815	1118	252
816	1120	250
817	1121	249
818	1122	248
819	1124	246
820	1126	245
821	1128	244
822	1129	242
823	1130	241
824	1131	240
825	1133	238
826	1134	237
827	1135	235
828	1137	234
829	1138	233
830	1140	231
831	1142	230
832	1144	229
833	1145	228
834	1146	226
835	1148	225
836	1149	223
837	1151	222
838	1153	221
839	1155	220
840	1156	218
841	1158	217
842	1159	215
843	1160	214
844	1162	213
845	1163	211
846	1164	210
847	1165	208
848	1166	207
849	1168	206
850	1169	204
851	1171	203
852	1172	202
853	1173	200
854	1174	199
855	1175	197
856	1176	196
857	1177	194
858	1178	193
859	1179	192
860	1180	190
861	1182	189
862	1183	187
863	1184	186
864	1185	185
865	1186	183
866	1187	182
867	1188	180
868	1189	179
869	1190	177
870	1192	176
871	1193	175
872	1194	173
873	1196	172
874	1197	171
875	1199	169
876	1200	168
877	1201	166
878	1202	165
879	1203	164
880	1205	162
881	1206	161
882	1207	159
883	1208	158
884	1209	157
885	1210	155
886	1212	154
887	1213	153
888	1214	151
889	1216	150
890	1217	148
891	1218	147
892	1219	146
893	1221	144
894	1222	143
895	1223	142
896	1225	140
897	1226	139
898	1228	137
899	1229	136
900	1230	135
901	1231	133
902	1233	132
903	1235	131
904	1236	129
905	1237	128
906	1238	127
907	1240	125
908	1241	124
909	1242	122
910	1243	121
911	1245	120
912	1246	118
913	1247	117
914	1249	116
915	1250	114
